id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,country,city,icao_code,iata_code,State,timezone
3695,KMLI,medium_airport,Quad City International Airport,41.448502,-90.5075,590,US,Moline,KMLI,MLI,IL,America/Chicago
3696,KMLS,medium_airport,Miles City Airport - Frank Wiley Field,46.427268,-105.885372,2630,US,Miles City,KMLS,MLS,MT,America/Denver
3697,KMLU,medium_airport,Monroe Regional Airport,32.510899,-92.037697,79,US,Monroe,KMLU,MLU,LA,America/Chicago
20527,KMMH,medium_airport,Mammoth Yosemite Airport,37.625381,-118.84306,7135,US,Mammoth Lakes,KMMH,MMH,CA,America/Los_Angeles
20532,KMMT,medium_airport,Mc Entire Joint National Guard Base,33.92079926,-80.80130005,254,US,Eastover,KMMT,MMT,SC,America/New_York
3698,KMMU,medium_airport,Morristown Municipal Airport,40.799062,-74.414949,187,US,Morristown,KMMU,MMU,NJ,America/New_York
3699,KMMV,medium_airport,McMinnville Municipal Airport,45.194401,-123.136002,163,US,McMinnville,KMMV,MMV,OR,America/Los_Angeles
3700,KMOB,medium_airport,Mobile Regional Airport,30.6912,-88.242798,219,US,Mobile,KMOB,MOB,AL,America/Chicago
3701,KMOD,medium_airport,Modesto City Co-Harry Sham Field,37.625801,-120.954002,97,US,Modesto,KMOD,MOD,CA,America/Los_Angeles
3702,KMOT,medium_airport,Minot International Airport,48.25801,-101.279123,1716,US,Minot,KMOT,MOT,ND,America/Chicago
20551,KMPV,medium_airport,Edward F Knapp State Airport,44.20349884,-72.56230164,1166,US,Barre/Montpelier,KMPV,MPV,VT,America/New_York
3703,KMQY,medium_airport,Smyrna Airport,36.0089988708,-86.5201034546,543,US,Smyrna,KMQY,MQY,TN,America/Chicago
3704,KMRB,medium_airport,Eastern WV Regional Airport/Shepherd Field,39.40190125,-77.98459625,565,US,Martinsburg,KMRB,MRB,WV,America/New_York
3705,KMRY,medium_airport,Monterey Regional Airport,36.586777,-121.844183,257,US,Monterey,KMRY,MRY,CA,America/Los_Angeles
3706,KMSL,medium_airport,Northwest Alabama Regional Airport,34.745123,-87.612981,551,US,Muscle Shoals,KMSL,MSL,AL,America/Chicago
3707,KMSN,medium_airport,Dane County Regional Truax Field,43.1399,-89.337502,887,US,Madison,KMSN,MSN,WI,America/Chicago
3708,KMSO,medium_airport,Missoula Montana Airport,46.915816,-114.091107,3206,US,Missoula,KMSO,MSO,MT,America/Denver
3710,KMSS,medium_airport,Massena International Airport Richards Field,44.936157,-74.844304,215,US,Massena,KMSS,MSS,NY,America/New_York
3712,KMTC,medium_airport,Selfridge Air National Guard Base Airport,42.613463,-82.836919,580,US,Mount Clemens,KMTC,MTC,MI,America/Detroit
20564,KMTH,medium_airport,Florida Keys Marathon International Airport,24.726006,-81.05138,5,US,Marathon,KMTH,MTH,FL,America/New_York
20565,KMTJ,medium_airport,Montrose Regional Airport,38.5098,-107.893997,5759,US,Montrose,KMTJ,MTJ,CO,America/Denver
3713,KMTN,medium_airport,Martin State Airport,39.325699,-76.413803,21,US,Baltimore,KMTN,MTN,MD,America/New_York
3715,KMUO,medium_airport,Mountain Home Air Force Base,43.043598,-115.872002,2996,US,Mountain Home,KMUO,MUO,ID,America/Boise
20579,KMWA,medium_airport,Veterans Airport of Southern Illinois,37.751208,-89.016568,472,US,Marion,KMWA,MWA,IL,America/Chicago
20581,KMWH,medium_airport,Grant County International Airport,47.20769882,-119.3199997,1189,US,Moses Lake,KMWH,MWH,WA,America/Los_Angeles
20583,KMWL,medium_airport,Mineral Wells Regional Airport,32.781601,-98.060204,974,US,Mineral Wells,KMWL,MWL,TX,America/Chicago
3716,KMXF,medium_airport,Maxwell Air Force Base,32.3829,-86.365799,171,US,Montgomery,KMXF,MXF,AL,America/Chicago
20591,KMYL,medium_airport,McCall Municipal Airport,44.888837,-116.101112,5024,US,McCall,KMYL,MYL,ID,America/Boise
3718,KMYV,medium_airport,Yuba County Airport,39.09780121,-121.5699997,64,US,Marysville,KMYV,MYV,CA,America/Los_Angeles
3719,KNBC,medium_airport,Beaufort MCAS - Merritt Field,32.4774017334,-80.723197937,37,US,Beaufort,,NBC,SC,America/New_York
3720,KNBG,medium_airport,New Orleans NAS JRB/Alvin Callender Field,29.82530022,-90.03500366,2,US,New Orleans,KNBG,NBG,LA,America/Chicago
3721,KNCA,medium_airport,MCAS New River / McCutcheon Field,34.708401,-77.439697,26,US,Jacksonville,KNCA,NCA,NC,America/New_York
20634,KNDZ,medium_airport,Whiting Field Naval Air Station South Airport,30.704399,-87.023003,177,US,Milton,,NDZ,FL,America/Chicago
3722,KNEL,medium_airport,Lakehurst Maxfield Field Airport,40.03329849,-74.353302,101,US,Lakehurst,KNEL,NEL,NJ,America/New_York
3723,KNEW,medium_airport,Lakefront Airport,30.042400360107,-90.028297424316,8,US,New Orleans,KNEW,NEW,LA,America/Chicago
3724,KNFG,medium_airport,Camp Pendleton MCAS (Munn Field) Airport,33.30130005,-117.3550034,78,US,Oceanside,,NFG,CA,America/Los_Angeles
3725,KNFL,medium_airport,Fallon Naval Air Station,39.41659927,-118.7009964,3934,US,Fallon,KNFL,NFL,NV,America/Los_Angeles
20639,KNFW,medium_airport,NAS Fort Worth JRB / Carswell Field,32.769199,-97.441498,650,US,Fort Worth,KNFW,NFW,TX,America/Chicago
3726,KNGP,medium_airport,Naval Air Station Corpus Christi Truax Field,27.6926,-97.2911,18,US,Corpus Christi,KNGP,NGP,TX,America/Chicago
3727,KNGU,medium_airport,Norfolk Naval Station (Chambers Field),36.937599,-76.289299,17,US,Norfolk,KNGU,NGU,VA,America/New_York
3728,KNHK,medium_airport,Patuxent River Naval Air Station (Trapnell Field),38.285999,-76.411797,39,US,Patuxent River,KNHK,NHK,MD,America/New_York
20643,KNID,medium_airport,China Lake Naws (Armitage Field) Airport,35.6853981,-117.6920013,2283,US,China Lake,,NID,CA,America/Los_Angeles
3730,KNIP,medium_airport,Jacksonville Naval Air Station (Towers Field),30.2358,-81.680603,21,US,Jacksonville,KNIP,NIP,FL,America/New_York
3731,KNJK,medium_airport,El Centro NAF Airport (Vraciu Field),32.829201,-115.671996,-42,US,El Centro,KNJK,NJK,CA,America/Los_Angeles
3732,KNKT,medium_airport,Cherry Point MCAS / Cunningham Field/,34.900902,-76.880699,29,US,Cherry Point,KNKT,NKT,NC,America/New_York
